Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Tintagel Old Post Office,50.663371,-4.751645,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/tintagel-old-post-office,
Trelissick,50.217241,-5.033782,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/trelissick,
Trengwainton Garden,50.127899,-5.5695,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/trengwainton-garden,
Trerice,50.38661,-5.03809,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/trerice,
Trevithick Cottage,50.2029,-5.3122,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/trevithick-cottage,
Trevose Head,50.546834,-5.034124,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/trevose-head,
Wheal Coates,50.306226,-5.231574,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/wheal-coates,
Carrick-a-Rede,55.236698,-6.3328,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/carrick-a-rede,
Cushendun,55.12805,-6.04349,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/cushendun,
Divis and the Black Mountain,54.60074,-6.041651,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/divis-and-the-black-mountain,
Giant's Causeway,55.240807,-6.511572,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/giants-causeway,
Glenoe,54.799617,-5.832079,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/glenoe,
Islandmagee,54.847016,-5.727229,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/islandmagee,
Patterson's Spade Mill,54.700777,-6.043718,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/pattersons-spade-mill,
Templetown Mausoleum,54.706,-6.095,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/templetown-mausoleum,
The Crown Bar,54.5947,-5.9342,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/the-crown-bar,
White Park Bay,55.2289,-6.40669,County Antrim,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/white-park-bay,
Ardress House,54.445535,-6.591778,County Armagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/ardress-house,
Derrymore House,54.189943,-6.38358,County Armagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/derrymore-house,
The Argory,54.464905,-6.657732,County Armagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/the-argory,
Castle Ward,54.368301,-5.58034,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/castle-ward,
Lisnabreeny and Cregagh Glen,54.561886,-5.888972,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/lisnabreeny-and-cregagh-glen,
